Code,Name,Type,Latitude,Longitude,Date_Opened,Date_Closed,Species
ABD,Aberdeen,URBAN_BACKGROUND,57.15736000,-2.094278000,19990918,0,"CO,NO,NO2,NOx,O3,PM10,PM2p5,SO2,nvPM10,nvPM2p5,vPM10,vPM2p5"
ABD7,Aberdeen_Union_St_Roadside,URBAN_TRAFFIC,57.14455500,-2.106472000,20080101,0,"NO,NO2,NOx"
ABD8,Aberdeen_Wellington_Road,URBAN_TRAFFIC,57.13388800,-2.094198000,20160209,0,"NO,NO2,NOx"
ARM6,Armagh_Roadside,URBAN_TRAFFIC,54.35372800,-6.654558000,20090101,0,"NO,NO2,NOx,PM10,nvPM10,vPM10"
AH,Aston_Hill,RURAL_BACKGROUND,52.50385000,-3.034178000,19860626,0,"NO,NO2,NOx,O3"
ACTH,Auchencorth_Moss,RURAL_BACKGROUND,55.79216000,-3.242900000,20060101,0,"C5H8,O3,PM10,PM2p5,nvPM10,nvPM2p5,vPM10,vPM2p5,MARGA"
BAAR,Ballymena_Antrim_Road,URBAN_TRAFFIC,54.85149100,-6.274961000,20170401,0,"NO,NO2,NOx"
BALM,Ballymena_Ballykeel,URBAN_BACKGROUND,54.86159500,-6.250873000,20100101,0,"SO2,NO,NO2,NOx"
BAR3,Barnsley_Gawber,URBAN_BACKGROUND,53.56292000,-1.510436000,19970707,0,"CO,NO,NO2,NOx,O3,SO2"
BPLE,Barnstaple_A39,URBAN_TRAFFIC,51.07479300,-4.041924000,20131114,0,"PM10,PM2p5,nvPM10,nvPM2p5,vPM10,vPM2p5"
BHA4,Bath_A4_Roadside,URBAN_TRAFFIC,51.39092200,-2.355030000,20191024,0,"NO,NO2,NOx"
BEL2,Belfast_Centre,URBAN_BACKGROUND,54.59965000,-5.928833000,19920308,0,"CO,NO,NO2,NOx,O3,PM10,PM2p5,SO2,nvPM10,nvPM2p5,vPM10,vPM2p5"
BEL1,Belfast_Stockmans_Lane,URBAN_TRAFFIC,54.57258600,-5.974944000,20140607,0,"NO,NO2,NOx,PM10"
BIL,Billingham,URBAN_INDUSTRIAL,54.60537000,-1.275039000,19870101,0,"NO,NO2,NOx"
BBRD,Birkenhead_Borough_Road,URBAN_TRAFFIC,53.38851100,-3.025014000,20160818,0,"NO,NO2,NOx"
BIRR,Birmingham_A4540_Roadside,URBAN_TRAFFIC,52.47609000,-1.875024000,20160909,0,"NO,NO2,NOx,O3,PM10,PM2p5,vnPM10,nvPM2p5,vPM10,vPM2p5"
AGRN,Birmingham_Acocks_Green,URBAN_BACKGROUND,52.43716500,-1.829999000,20110318,0,"NO,NO2,NOx,O3,PM2p5,SO2,nvPM2p5,vPM2p5"
BMLD,Birmingham_Ladywood,URBAN_BACKGROUND,52.48134600,-1.918235000,20180823,0,"NO,NO2,NOx,O3,PM2p5,PM10,SO2,nvPM10,nvPM2p5,vPM10,vPM2p5"
BIR1,Birmingham_Tyburn,URBAN_BACKGROUND,52.51172200,-1.830583000,20040816,0,"CO,NO,NO2,NOx,O3,PM10,PM2p5,SO2,nvPM10,nvPM2p5,vPM10,vPM2p5"
BIRT,Birmingham_Tyburn_Roadside,URBAN_TRAFFIC,52.51219400,-1.830861000,20090211,0,"NO,NO2,NOx,O3,PM10,PM2p5,nvPM10,nvPM2p5,vPM10,vPM2p5"
BLAR,Blackburn_Accrington_Road,URBAN_TRAFFIC,53.74775100,-2.452724000,20140512,0,"NO,NO2,NOx"
BLC2,Blackpool_Marton,URBAN_BACKGROUND,53.80489000,-3.007175000,20050614,0,"CO,NO,NO2,NOx,O3,PM10,PM2p5,SO2,nvPM10,nvPM2p5,vPM10,vPM2p5"
BDMP,Borehamwood_Meadow_Park,URBAN_BACKGROUND,51.66122900,-0.270671000,20171001,0,"NO,NO2,NOx"
BOT,Bottesford,RURAL_BACKGROUND,52.93028000,-0.814722000,19771001,0,O3
BORN,Bournemouth,URBAN_BACKGROUND,50.73957000,-1.826744000,20010305,0,"CO,NO,NO2,NOx,O3,PM10,PM2p5,SO2"
BDMA,Bradford_Mayo_Avenue,URBAN_TRAFFIC,53.77124500,-1.759774000,20150424,0,"NO,NO2,NOx"
BRT3,Brighton_Preston_Park,URBAN_BACKGROUND,50.84083600,-0.147572000,20041103,0,"NO,NO2,NOx,O3,PM2p5"
BRS8,Bristol_St_Pauls,URBAN_BACKGROUND,51.46283900,-2.584482000,20060615,0,"CO,NO,NO2,NOx,O3,PM10,PM2p5,SO2,nvPM10,nvPM2p5,vPM10,vPM2p5"
BR11,Bristol_Temple_Way,URBAN_TRAFFIC,51.45796800,-2.583975000,20170401,0,"NO,NO2,NOx"
BOTR,Burton-on-Trent_Horninglow,URBAN_BACKGROUND,52.82105000,-1.635718000,20180201,0,"NO,NO2,NOx"
BURW,Bury_Whitefield_Roadside,URBAN_TRAFFIC,53.55902900,-2.293772000,20150101,0,"NO,NO2,NOx,PM10,PM2p5,nvPM10,vPM10,nvPM2p5,vPM2p5"
BUSH,Bush_Estate,RURAL_BACKGROUND,55.86228100,-3.205782000,19860401,0,"NO,NO2,NOx,O3"
CAM,Cambridge_Roadside,URBAN_TRAFFIC,52.20237000,0.124456000,19990626,0,"NO,NO2,NOx"
CA1,Camden_Kerbside,URBAN_TRAFFIC,51.54421000,-0.175269000,19960516,0,"NO,NO2,NOx,PM10,PM2p5,nvPM10,nvPM2p5,vPM10,vPM2p5"
CANK,Cannock_A5190_Roadside,URBAN_TRAFFIC,52.68729800,-1.980821000,20160810,0,"NO,NO2,NOx"
CANR,Cannock_Watling_Street,URBAN_TRAFFIC,52.67476700,-2.030882000,20141201,20141201,"NO,NO2,NOx"
CANT,Canterbury,URBAN_BACKGROUND,51.27399000,1.098061000,20010201,0,"NO,NO2,NOx,O3,PM10"
CARD,Cardiff_Centre,URBAN_BACKGROUND,51.48178000,-3.176250000,19920512,0,"CO,NO,NO2,NOx,O3,PM10,PM2p5,SO2,nvPM10,nvPM2p5,vPM10,vPM2p5"
CNPR,Cardiff_Newport_Road,URBAN_TRAFFIC,51.49096000,-3.152305000,20180401,0,"NO,NO2,NOx,PM10"
CARL,Carlisle_Roadside,URBAN_TRAFFIC,54.89483400,-2.945307000,20080214,0,"NO,NO2,NOx,PM10,PM2p5,nvPM10,nvPM2p5,vPM10,vPM2p5"
MACK,Charlton_Mackrell,RURAL_BACKGROUND,51.05625000,-2.683450000,20080903,0,"NO,NO2,NOx,O3"
CHAT,Chatham_Roadside,URBAN_TRAFFIC,51.37426400,0.547970000,20100701,0,"NO,NO2,NOx,PM10,PM2p5,nvPM10,nvPM2p5,vPM10,vPM2p5"
CHP,Chepstow_A48,URBAN_TRAFFIC,51.63809400,-2.678731000,20080101,0,"NO,NO2,NOx,PM10,PM2p5,nvPM10,nvPM2p5,vPM10,vPM2p5"
CHLG,Chesterfield_Loundsley_Green,URBAN_BACKGROUND,53.24413100,-1.454946000,20150301,0,"NO,NO2,NOx,PM10,PM2p5,nvPM10,nvPM2p5,vPM10,vPM2p5"
CHS7,Chesterfield_Roadside,URBAN_TRAFFIC,53.23172200,-1.456944000,20080311,0,"NO,NO2,NOx,PM10,PM2p5,nvPM10,nvPM2p5,vPM10,vPM2p5"
CHBO,Chilbolton_Observatory,RURAL_BACKGROUND,51.14961700,-1.438228000,20160111,0,"C5H8,NO,NO2,NOx,O3,PM10,PM2p5,SO2,nvPM10,nvPM2p5,vPM10,vPM2p5"
CHBR,Christchurch_Barrack_Road,URBAN_TRAFFIC,50.73545400,-1.780888000,20160901,0,"NO,NO2,NOx"
COAL,Coventry_Allesley,URBAN_BACKGROUND,52.41156300,-1.560228000,20140617,0,"NO,NO2,NOx,O3,PM2p5,nvPM2p5,vPM2p5"
COV3,Coventry_Memorial_Park,URBAN_BACKGROUND,52.39439900,-1.519612000,20010226,20140610,"CO,NO,NO2,NOx,O3,PM10,PM2p5,SO2,nvPM10,nvPM2p5,vPM10,vPM2p5"
COBR,Coventry_Binley_Road,URBAN_TRAFFIC,52.40770800,-1.490082000,20170401,0,"NO,NO2,NOx,PM10,nvPM10,vPM10"
COPP,Crewe_Copenhall,URBAN_BACKGROUND,53.11594100,-2.453492000,20191015,0,"NO,NO2,NOx"
CWMB,Cwmbran,URBAN_BACKGROUND,51.65380000,-3.006953000,20010720,0,"CO,NO,NO2,NOx,O3,PM10,SO2"
DESA,Derby_St_Alkmunds_Way,URBAN_TRAFFIC,52.92298300,-1.469507000,20170101,0,"NO,NO2,NOx"
DERR,Derry_Rosemount,URBAN_BACKGROUND,55.00281800,-7.331179000,20160321,0,"NO,NO2,NOx,O3,PM10,PM2p5,SO2,nvPM10,nvPM2p5,vPM10,vPM2p5"
DYAG,Dewsbury_Ashworth_Grove,URBAN_BACKGROUND,53.69310400,-1.637111000,20180401,0,"NO,NO2,NOx"
DCST,Doncaster_A630_Cleveland_Street,URBAN_TRAFFIC,53.51886800,-1.138073000,20150507,0,"NO,NO2,NOx"
DUMB,Dumbarton_Roadside,URBAN_TRAFFIC,55.94319700,-4.559730000,20100901,0,"NO,NO2,NOx"
DUMF,Dumfries,URBAN_TRAFFIC,55.07003300,-3.614233000,20010301,0,"CO,NO,NO2,NOx,PM10"
DCC1,Dundee_Mains_Loan,URBAN_BACKGROUND,56.47543400,-2.959861000,20171003,0,"NO,NO2,NOx"
EA8,Ealing_Horn_Lane,URBAN_TRAFFIC,51.51895000,-0.265617000,20140515,0,"PM10,nvPM10,vPM10"
EB,Eastbourne,URBAN_BACKGROUND,50.80577800,0.271611000,20090701,0,"NO,NO2,NOx,PM10,PM2p5,nvPM10,nvPM2p5,vPM10,vPM2p5"
EDNS,Edinburgh_Nicolson_Street,URBAN_TRAFFIC,55.94476000,-3.183991000,20171201,0,"NO,NO2,NOx"
ED3,Edinburgh_St_Leonards,URBAN_BACKGROUND,55.94558900,-3.182186000,20031124,0,"CO,NO,NO2,NOx,O3,PM10,PM2p5,SO2,nvPM10,nvPM2p5,vPM10,vPM2p5"
ESK,Eskdalemuir,RURAL_BACKGROUND,55.31531000,-3.206111000,19860423,0,"NO,NO2,NOx,O3"
EX,Exeter_Roadside,URBAN_TRAFFIC,50.72508300,-3.532465000,19960702,0,"CO,NO,NO2,NOx,O3,SO2"
FW,Fort_William,SUBURBAN_BACKGROUND,56.82266000,-5.101102000,20060622,0,"NO,NO2,NOx,O3"
GGWR,Glasgow_Great_Western_Road,URBAN_TRAFFIC,55.87203800,-4.270936000,20140605,0,"NO,NO2,NOx"
