Data supplied by AEA on 15/4/2016
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Aston Hill,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit
 
01-01-2015,01:00,0.30725,R,ugm-3,2.36831,R,ugm-3,2.83943,R,ugm-3,63.99545,R,ugm-3
01-01-2015,02:00,,,,,,,,,,62.66498,R,ugm-3
01-01-2015,03:00,0.36234,R,ugm-3,1.77289,R,ugm-3,2.32847,R,ugm-3,66.40692,R,ugm-3
01-01-2015,04:00,0.36234,R,ugm-3,1.67344,R,ugm-3,2.22902,R,ugm-3,68.45251,R,ugm-3
01-01-2015,05:00,0.32929,R,ugm-3,1.37700,R,ugm-3,1.88190,R,ugm-3,73.59144,R,ugm-3
01-01-2015,06:00,0.29623,R,ugm-3,1.37843,R,ugm-3,1.83265,R,ugm-3,72.49380,R,ugm-3
01-01-2015,07:00,0.19770,R,ugm-3,1.62849,R,ugm-3,1.93163,R,ugm-3,69.15101,R,ugm-3
01-01-2015,08:00,0.29623,R,ugm-3,1.32871,R,ugm-3,1.78293,R,ugm-3,71.94499,R,ugm-3
01-01-2015,09:00,0.32929,R,ugm-3,1.17906,R,ugm-3,1.68396,R,ugm-3,76.48520,R,ugm-3
01-01-2015,10:00,0.23044,R,ugm-3,1.13268,R,ugm-3,1.48601,R,ugm-3,77.73252,R,ugm-3
01-01-2015,11:00,0.29655,R,ugm-3,1.12981,R,ugm-3,1.58451,R,ugm-3,78.58069,R,ugm-3
01-01-2015,12:00,0.32929,R,ugm-3,1.08056,R,ugm-3,1.58546,R,ugm-3,77.53295,R,ugm-3
01-01-2015,13:00,0.32929,R,ugm-3,1.12933,R,ugm-3,1.63423,R,ugm-3,74.63918,R,ugm-3
01-01-2015,14:00,0.29623,R,ugm-3,0.88310,R,ugm-3,1.33732,R,ugm-3,75.53725,R,ugm-3
01-01-2015,15:00,0.23075,R,ugm-3,0.83528,R,ugm-3,1.18910,R,ugm-3,75.93639,R,ugm-3
01-01-2015,16:00,0.23075,R,ugm-3,0.98350,R,ugm-3,1.33732,R,ugm-3,75.08821,R,ugm-3
01-01-2015,17:00,0.19770,R,ugm-3,0.98494,R,ugm-3,1.28807,R,ugm-3,74.93854,R,ugm-3
01-01-2015,18:00,0.23044,R,ugm-3,0.98398,R,ugm-3,1.33732,R,ugm-3,74.38972,R,ugm-3
01-01-2015,19:00,0.29623,R,ugm-3,0.93282,R,ugm-3,1.38704,R,ugm-3,74.24004,R,ugm-3
01-01-2015,20:00,0.32929,R,ugm-3,0.78317,R,ugm-3,1.28807,R,ugm-3,74.09036,R,ugm-3
01-01-2015,21:00,0.26349,R,ugm-3,0.68611,R,ugm-3,1.09013,R,ugm-3,72.94284,R,ugm-3
01-01-2015,22:00,0.26349,R,ugm-3,0.58666,R,ugm-3,0.99068,R,ugm-3,71.59574,R,ugm-3
01-01-2015,23:00,0.26318,R,ugm-3,0.78604,R,ugm-3,1.18958,R,ugm-3,69.30068,R,ugm-3
01-01-2015,24:00,0.29623,R,ugm-3,0.48673,R,ugm-3,0.94095,R,ugm-3,70.34843,R,ugm-3
02-01-2015,01:00,0.26360,R,ugm-3,0.58778,R,ugm-3,0.99195,R,ugm-3,71.97825,R,ugm-3
02-01-2015,02:00,,,,,,,,,,76.50183,R,ugm-3
02-01-2015,03:00,0.36234,R,ugm-3,0.43557,R,ugm-3,0.99115,R,ugm-3,76.58499,R,ugm-3
02-01-2015,04:00,0.32929,R,ugm-3,0.33803,R,ugm-3,0.84293,R,ugm-3,76.73467,R,ugm-3
02-01-2015,05:00,0.29623,R,ugm-3,0.33947,R,ugm-3,0.79369,R,ugm-3,78.73037,R,ugm-3
02-01-2015,06:00,0.26349,R,ugm-3,0.38919,R,ugm-3,0.79321,R,ugm-3,78.48090,R,ugm-3
02-01-2015,07:00,0.19770,R,ugm-3,0.49008,R,ugm-3,0.79321,R,ugm-3,76.03617,R,ugm-3
02-01-2015,08:00,0.29623,R,ugm-3,0.58618,R,ugm-3,1.04040,R,ugm-3,73.89079,R,ugm-3
02-01-2015,09:00,0.26349,R,ugm-3,0.93473,R,ugm-3,1.33875,R,ugm-3,72.49380,R,ugm-3
02-01-2015,10:00,0.36234,R,ugm-3,1.03132,R,ugm-3,1.58690,R,ugm-3,70.54800,R,ugm-3
02-01-2015,11:00,0.36234,R,ugm-3,0.88262,R,ugm-3,1.43820,R,ugm-3,71.24649,R,ugm-3
02-01-2015,12:00,0.39539,R,ugm-3,1.17858,R,ugm-3,1.78484,R,ugm-3,70.79746,R,ugm-3
