Data supplied by AEA on 6/6/2017
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Aberdeen,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Non-volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Non-volatile PM<sub>2.5</sub> (Hourly measured)",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Volatile PM<sub>2.5</sub> (Hourly measured)",status,unit
 
01-01-2016,01:00,12.900,R,ugm-3 (TEOM FDMS),2.48296,R,ugm-3,12.51859,R,ugm-3,16.32574,R,ugm-3,10.600,R,ugm-3 (TEOM FDMS),10.300,R,ugm-3 (TEOM FDMS),65.32591,R,ugm-3,7.300,R,ugm-3 (TEOM FDMS),2.300,R,ugm-3 (TEOM FDMS),-3.000,R,ugm-3 (TEOM FDMS)
01-01-2016,02:00,13.300,R,ugm-3 (TEOM FDMS),1.01738,R,ugm-3,18.34916,R,ugm-3,19.90913,R,ugm-3,11.600,R,ugm-3 (TEOM FDMS),9.600,R,ugm-3 (TEOM FDMS),52.28734,R,ugm-3,5.400,R,ugm-3 (TEOM FDMS),1.700,R,ugm-3 (TEOM FDMS),-4.200,R,ugm-3 (TEOM FDMS)
01-01-2016,03:00,7.700,R,ugm-3 (TEOM FDMS),0.97695,R,ugm-3,12.83670,R,ugm-3,14.33467,R,ugm-3,8.100,R,ugm-3 (TEOM FDMS),4.500,R,ugm-3 (TEOM FDMS),55.53035,R,ugm-3,1.700,R,ugm-3 (TEOM FDMS),-0.400,R,ugm-3 (TEOM FDMS),-2.800,R,ugm-3 (TEOM FDMS)
01-01-2016,04:00,9.000,R,ugm-3 (TEOM FDMS),0.79360,R,ugm-3,10.43030,R,ugm-3,11.64713,R,ugm-3,7.400,R,ugm-3 (TEOM FDMS),3.000,R,ugm-3 (TEOM FDMS),60.41982,R,ugm-3,1.200,R,ugm-3 (TEOM FDMS),1.600,R,ugm-3 (TEOM FDMS),-1.800,R,ugm-3 (TEOM FDMS)
01-01-2016,05:00,7.500,R,ugm-3 (TEOM FDMS),0.48894,R,ugm-3,13.43579,R,ugm-3,14.18549,R,ugm-3,7.500,R,ugm-3 (TEOM FDMS),3.100,R,ugm-3 (TEOM FDMS),51.33938,R,ugm-3,1.500,R,ugm-3 (TEOM FDMS),0.000,R,ugm-3 (TEOM FDMS),-1.600,R,ugm-3 (TEOM FDMS)
01-01-2016,06:00,7.200,R,ugm-3 (TEOM FDMS),2.47277,R,ugm-3,39.31192,R,ugm-3,43.10345,R,ugm-3,5.300,R,ugm-3 (TEOM FDMS),2.900,R,ugm-3 (TEOM FDMS),20.50582,R,ugm-3,2.700,R,ugm-3 (TEOM FDMS),1.900,R,ugm-3 (TEOM FDMS),-0.200,R,ugm-3 (TEOM FDMS)
01-01-2016,07:00,10.300,R,ugm-3 (TEOM FDMS),2.65581,R,ugm-3,41.37072,R,ugm-3,45.44291,R,ugm-3,7.900,R,ugm-3 (TEOM FDMS),4.000,R,ugm-3 (TEOM FDMS),24.54711,R,ugm-3,2.000,R,ugm-3 (TEOM FDMS),2.400,R,ugm-3 (TEOM FDMS),-2.000,R,ugm-3 (TEOM FDMS)
01-01-2016,08:00,8.900,R,ugm-3 (TEOM FDMS),1.19024,R,ugm-3,26.14674,R,ugm-3,27.97175,R,ugm-3,7.500,R,ugm-3 (TEOM FDMS),1.000,R,ugm-3 (TEOM FDMS),37.96819,R,ugm-3,-0.700,R,ugm-3 (TEOM FDMS),1.400,R,ugm-3 (TEOM FDMS),-1.700,R,ugm-3 (TEOM FDMS)
01-01-2016,09:00,7.300,R,ugm-3 (TEOM FDMS),0.48863,R,ugm-3,8.55796,R,ugm-3,9.30718,R,ugm-3,8.300,R,ugm-3 (TEOM FDMS),-0.400,R,ugm-3 (TEOM FDMS),56.52820,R,ugm-3,-1.900,R,ugm-3 (TEOM FDMS),-1.000,R,ugm-3 (TEOM FDMS),-1.500,R,ugm-3 (TEOM FDMS)
