Data supplied by AEA on 6/6/2017
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Aston Hill,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit
 
01-01-2016,01:00,0.18751,R,ugm-3,0.55781,R,ugm-3,0.84533,R,ugm-3,60.00405,R,ugm-3
01-01-2016,02:00,0.42159,R,ugm-3,0.48004,R,ugm-3,1.12646,R,ugm-3,62.39889,R,ugm-3
01-01-2016,03:00,0.28127,R,ugm-3,0.46665,R,ugm-3,0.89792,R,ugm-3,61.91659,R,ugm-3
01-01-2016,04:00,0.45682,R,ugm-3,0.46187,R,ugm-3,1.16232,R,ugm-3,61.16821,R,ugm-3
01-01-2016,05:00,0.28095,R,ugm-3,0.51972,R,ugm-3,0.95051,R,ugm-3,60.02068,R,ugm-3
01-01-2016,06:00,0.21079,R,ugm-3,0.73249,R,ugm-3,1.05570,R,ugm-3,52.78627,R,ugm-3
01-01-2016,07:00,0.10571,R,ugm-3,1.26464,R,ugm-3,1.42673,R,ugm-3,53.43487,R,ugm-3
01-01-2016,08:00,0.24603,R,ugm-3,2.10566,R,ugm-3,2.48290,R,ugm-3,51.18971,R,ugm-3
01-01-2016,09:00,0.38635,R,ugm-3,2.04924,R,ugm-3,2.64164,R,ugm-3,50.69078,R,ugm-3
01-01-2016,10:00,0.35112,R,ugm-3,2.20846,R,ugm-3,2.74683,R,ugm-3,50.34153,R,ugm-3
01-01-2016,11:00,0.35112,R,ugm-3,2.63256,R,ugm-3,3.17093,R,ugm-3,50.79057,R,ugm-3
01-01-2016,12:00,0.45682,R,ugm-3,3.15610,R,ugm-3,3.85656,R,ugm-3,52.48691,R,ugm-3
01-01-2016,13:00,0.56253,R,ugm-3,4.20893,R,ugm-3,5.07147,R,ugm-3,52.63659,R,ugm-3
01-01-2016,14:00,0.52730,R,ugm-3,5.10877,R,ugm-3,5.91728,R,ugm-3,54.43272,R,ugm-3
01-01-2016,15:00,0.52730,R,ugm-3,5.53143,R,ugm-3,6.33994,R,ugm-3,56.47831,R,ugm-3
01-01-2016,16:00,0.24603,R,ugm-3,7.44154,R,ugm-3,7.81878,R,ugm-3,55.77982,R,ugm-3
01-01-2016,17:00,0.35112,R,ugm-3,10.76785,R,ugm-3,11.30622,R,ugm-3,50.04218,R,ugm-3
01-01-2016,18:00,0.35143,R,ugm-3,10.60912,R,ugm-3,11.14796,R,ugm-3,49.14411,R,ugm-3
01-01-2016,19:00,0.28095,R,ugm-3,6.91321,R,ugm-3,7.34400,R,ugm-3,55.77982,R,ugm-3
01-01-2016,20:00,0.35112,R,ugm-3,4.00525,R,ugm-3,4.54362,R,ugm-3,62.21595,R,ugm-3
01-01-2016,21:00,0.21079,R,ugm-3,3.11068,R,ugm-3,3.43389,R,ugm-3,65.55875,R,ugm-3
01-01-2016,22:00,0.17556,R,ugm-3,4.06311,R,ugm-3,4.33229,R,ugm-3,63.01423,R,ugm-3
01-01-2016,23:00,0.31619,R,ugm-3,3.95266,R,ugm-3,4.43748,R,ugm-3,60.51960,R,ugm-3
01-01-2016,24:00,0.42159,R,ugm-3,3.84365,R,ugm-3,4.49007,R,ugm-3,59.57165,R,ugm-3
02-01-2016,01:00,0.23491,R,ugm-3,3.37301,R,ugm-3,3.73320,R,ugm-3,59.40534,R,ugm-3
02-01-2016,02:00,0.38666,R,ugm-3,2.89457,R,ugm-3,3.48744,R,ugm-3,57.47616,R,ugm-3
02-01-2016,03:00,0.35174,R,ugm-3,2.73679,R,ugm-3,3.27611,R,ugm-3,56.22885,R,ugm-3
02-01-2016,04:00,0.35174,R,ugm-3,2.57805,R,ugm-3,3.11738,R,ugm-3,55.13121,R,ugm-3
02-01-2016,05:00,0.38666,R,ugm-3,2.47143,R,ugm-3,3.06430,R,ugm-3,53.48476,R,ugm-3
02-01-2016,06:00,0.31681,R,ugm-3,1.94501,R,ugm-3,2.43079,R,ugm-3,54.68218,R,ugm-3
02-01-2016,07:00,0.24665,R,ugm-3,1.78819,R,ugm-3,2.16638,R,ugm-3,54.98154,R,ugm-3
02-01-2016,08:00,0.21142,R,ugm-3,1.89433,R,ugm-3,2.21850,R,ugm-3,56.02928,R,ugm-3
02-01-2016,09:00,0.24665,R,ugm-3,2.58044,R,ugm-3,2.95864,R,ugm-3,54.73207,R,ugm-3
02-01-2016,10:00,0.38666,R,ugm-3,2.63017,R,ugm-3,3.22304,R,ugm-3,58.47401,R,ugm-3
02-01-2016,11:00,0.31681,R,ugm-3,2.57805,R,ugm-3,3.06383,R,ugm-3,60.86885,R,ugm-3
02-01-2016,12:00,0.28189,R,ugm-3,2.57948,R,ugm-3,3.01171,R,ugm-3,61.11831,R,ugm-3
02-01-2016,13:00,0.31681,R,ugm-3,2.73679,R,ugm-3,3.22256,R,ugm-3,62.01638,R,ugm-3
02-01-2016,14:00,0.49206,R,ugm-3,3.84221,R,ugm-3,4.59669,R,ugm-3,58.22455,R,ugm-3
02-01-2016,15:00,0.49206,R,ugm-3,7.06478,R,ugm-3,7.81926,R,ugm-3,50.79057,R,ugm-3
02-01-2016,16:00,0.38698,R,ugm-3,12.08652,R,ugm-3,12.67988,R,ugm-3,43.75572,R,ugm-3
02-01-2016,17:00,0.38666,R,ugm-3,11.03034,R,ugm-3,11.62322,R,ugm-3,40.71228,R,ugm-3
02-01-2016,18:00,0.38698,R,ugm-3,10.13147,R,ugm-3,10.72482,R,ugm-3,43.20691,R,ugm-3
02-01-2016,19:00,0.31681,R,ugm-3,9.44727,R,ugm-3,9.93305,R,ugm-3,38.21766,R,ugm-3
02-01-2016,20:00,0.45682,R,ugm-3,8.49246,R,ugm-3,9.19291,R,ugm-3,40.46282,R,ugm-3
02-01-2016,21:00,0.35174,R,ugm-3,5.64235,R,ugm-3,6.18168,R,ugm-3,49.19401,R,ugm-3
02-01-2016,22:00,0.28158,R,ugm-3,3.05522,R,ugm-3,3.48697,R,ugm-3,56.17896,R,ugm-3
02-01-2016,23:00,0.21142,R,ugm-3,1.52522,R,ugm-3,1.84939,R,ugm-3,57.02713,R,ugm-3
02-01-2016,24:00,0.35205,R,ugm-3,1.36122,R,ugm-3,1.90103,R,ugm-3,54.13336,R,ugm-3
03-01-2016,01:00,0.18793,R,ugm-3,1.12073,R,ugm-3,1.40888,R,ugm-3,59.93752,R,ugm-3
03-01-2016,02:00,0.35174,R,ugm-3,0.41167,R,ugm-3,0.95099,R,ugm-3,67.18857,R,ugm-3
03-01-2016,03:00,0.38698,R,ugm-3,0.41119,R,ugm-3,1.00454,R,ugm-3,71.54585,R,ugm-3
03-01-2016,04:00,0.38666,R,ugm-3,0.56945,R,ugm-3,1.16232,R,ugm-3,75.63703,R,ugm-3
03-01-2016,05:00,0.31681,R,ugm-3,0.25436,R,ugm-3,0.74014,R,ugm-3,78.18155,R,ugm-3
03-01-2016,06:00,0.35174,R,ugm-3,0.41167,R,ugm-3,0.95099,R,ugm-3,75.13811,R,ugm-3
03-01-2016,07:00,0.31650,R,ugm-3,1.15228,R,ugm-3,1.63758,R,ugm-3,71.59574,R,ugm-3
03-01-2016,08:00,0.35174,R,ugm-3,1.09873,R,ugm-3,1.63806,R,ugm-3,73.09251,R,ugm-3
03-01-2016,09:00,0.28158,R,ugm-3,1.10064,R,ugm-3,1.53239,R,ugm-3,72.99273,R,ugm-3
03-01-2016,10:00,0.24665,R,ugm-3,1.62897,R,ugm-3,2.00717,R,ugm-3,71.59574,R,ugm-3
03-01-2016,11:00,0.31681,R,ugm-3,2.05068,R,ugm-3,2.53645,R,ugm-3,70.19875,R,ugm-3
03-01-2016,12:00,0.31681,R,ugm-3,2.57901,R,ugm-3,3.06478,R,ugm-3,69.05122,R,ugm-3
03-01-2016,13:00,0.35174,R,ugm-3,1.83839,R,ugm-3,2.37772,R,ugm-3,73.19230,R,ugm-3
03-01-2016,14:00,0.42190,R,ugm-3,0.51494,R,ugm-3,1.16184,R,ugm-3,82.12306,R,ugm-3
03-01-2016,15:00,0.31681,R,ugm-3,0.41214,R,ugm-3,0.89792,R,ugm-3,80.87574,R,ugm-3
03-01-2016,16:00,0.24634,R,ugm-3,0.62539,R,ugm-3,1.00311,R,ugm-3,76.13596,R,ugm-3
03-01-2016,17:00,0.35174,R,ugm-3,0.83481,R,ugm-3,1.37413,R,ugm-3,76.68477,R,ugm-3
03-01-2016,18:00,0.24665,R,ugm-3,0.94286,R,ugm-3,1.32106,R,ugm-3,74.88864,R,ugm-3
